timestamp,imu_data
1741258552.9275436,2:-2.79,ACC:-0.89
1741258552.928028,GX:-12.11,GZ:3.68,ACC:0.76
1741258552.9281654,GX:-10.8704
1741258552.9283915,GX:-4.68,GZ:-1.01,ACC:-1.60
1741258552.928644,GX:-0.27,GZ:-1.98,ACC:-0.01
1741258552.928892,GX:-3.64,GZ:-2.79,ACC:-0.89
1741258552.9291258,GX:-12.11,GZ:3.68,ACC:0.76
1741258553.929608,GX:-10.87
1741258554.5179977,GX:5.45,GZ:2.47,ACC:2.38
1741258554.546683,GX:2.63,GZ:-0.76,ACC:-1.90
1741258554.5753374,GX:1.65,GZ:-0.55,ACC:2.41
1741258554.6040473,GX:3.25,GZ:-0.40,ACC:2.98
1741258554.6325836,GX:4.36,GZ:-1.45,ACC:3.72
1741258554.6612957,GX:1.35,GZ:-2.87,ACC:4.84
1741258554.6899364,GX:-1.29,GZ:4.14,ACC:3.69
1741258554.7146032,GX:0.76,GZ:5.55,ACC:3.12
1741258554.7432487,GX:3.20,GZ:0.63,ACC:4.93
1741258554.7679756,GX:8.09,GZ:1.24,ACC:6.03
1741258554.7966359,GX:6.98,GZ:-0.60,ACC:6.15
1741258554.8255813,GX:-1.04,GZ:2.50,ACC:5.89
1741258554.8538742,GX:0.08,GZ:6.27,ACC:3.73
1741258554.8826299,GX:10.48,GZ:8.38,ACC:5.62
1741258554.906999,GX:17.79,GZ:2.72,ACC:7.23
1741258554.9356403,GX:6.50,GZ:5.70,ACC:6.81
1741258554.9643495,GX:-3.01,GZ:8.70,ACC:6.70
1741258554.9929426,GX:1.95,GZ:10.04,ACC:4.89
1741258555.017666,GX:8.13,GZ:3.59,ACC:4.92
1741258555.0462275,GX:12.79,GZ:6.40,ACC:7.14
1741258555.0750926,GX:6.24,GZ:12.21,ACC:7.55
1741258555.1036737,GX:-2.79,GZ:10.85,ACC:4.80
1741258555.1325006,GX:2.35,GZ:7.01,ACC:2.86
1741258555.157108,GX:8.40,GZ:4.50,ACC:4.94
1741258555.18565,GX:9.30,GZ:2.37,ACC:5.46
1741258555.2142472,GX:0.37,GZ:2.10,ACC:7.00
1741258555.238803,GX:-8.16,GZ:5.40,ACC:5.97
1741258555.2716005,GX:-3.43,GZ:-1.89,ACC:2.95
1741258555.3003116,GX:11.26,GZ:-4.92,ACC:4.50
1741258555.3290284,GX:11.37,GZ:-9.93,ACC:6.71
1741258555.3575513,GX:5.88,GZ:-8.39,ACC:7.65
1741258555.3863335,GX:-1.07,GZ:-20.50,ACC:6.92
1741258555.4151402,GX:11.77,GZ:-37.95,ACC:6.12
1741258555.4482436,GX:35.31,GZ:-37.16,ACC:10.60
1741258555.4764962,GX:25.85,GZ:-32.30,ACC:8.91
1741258555.5091774,GX:4.45,GZ:-17.51,ACC:8.23
1741258555.533859,GX:7.59,GZ:-8.78,ACC:6.64
1741258555.5623717,GX:8.39,GZ:-14.01,ACC:6.37
1741258555.5950472,GX:6.58,GZ:-14.61,ACC:9.31
1741258555.6238627,GX:-4.83,GZ:-4.96,ACC:9.83
1741258555.652624,GX:-7.80,GZ:-5.92,ACC:5.76
1741258555.6813183,GX:11.71,GZ:-15.54,ACC:6.26
1741258555.7099178,GX:14.49,GZ:-3.93,ACC:5.50
1741258555.738632,GX:2.42,GZ:2.15,ACC:8.10
1741258555.7671633,GX:-12.09,GZ:6.89,ACC:5.46
1741258555.7958996,GX:-19.28,GZ:11.78,ACC:3.56
1741258555.8286116,GX:-10.11,GZ:2.18,ACC:1.42
1741258555.8571947,GX:-7.25,GZ:-1.93,ACC:2.76
1741258555.8858685,GX:-10.14,GZ:4.35,ACC:4.19
1741258555.9146068,GX:-10.46,GZ:6.24,ACC:2.81
1741258555.943219,GX:-5.40,GZ:4.11,ACC:1.93
1741258555.9720552,GX:11.47,GZ:-4.11,ACC:0.09
1741258556.0007555,GX:21.29,GZ:-8.50,ACC:2.29
1741258556.0292037,GX:10.62,GZ:-8.60,ACC:6.17
1741258556.0579855,GX:-6.37,GZ:2.60,ACC:3.03
1741258556.0867221,GX:-4.66,GZ:-5.38,ACC:2.44
1741258556.115362,GX:16.95,GZ:-3.92,ACC:2.59
1741258556.148081,GX:25.24,GZ:-12.11,ACC:3.53
1741258556.1727307,GX:-1.10,GZ:0.73,ACC:5.55
1741258556.2013326,GX:-7.34,GZ:3.71,ACC:1.67
1741258556.230056,GX:0.37,GZ:-1.60,ACC:0.12
1741258556.258692,GX:8.87,GZ:3.57,ACC:-0.74
1741258556.2873256,GX:10.69,GZ:0.84,ACC:3.73
1741258556.316013,GX:-5.14,GZ:2.07,ACC:3.12
1741258556.3446915,GX:-7.75,GZ:4.88,ACC:0.18
1741258556.3693326,GX:2.05,GZ:3.02,ACC:-1.27
1741258556.4019613,GX:13.47,GZ:-1.81,ACC:-0.68
1741258556.4307296,GX:5.10,GZ:-5.05,ACC:2.18
1741258556.459397,GX:-2.27,GZ:-3.87,ACC:2.95
1741258556.488001,GX:-0.54,GZ:3.66,ACC:1.22
1741258556.516639,GX:5.45,GZ:-2.47,ACC:-1.41
1741258556.5452962,GX:9.95,GZ:-6.22,ACC:2.26
1741258556.5699844,GX:2.18,GZ:-2.06,ACC:5.01
1741258556.602666,GX:-4.94,GZ:-3.69,ACC:5.80
1741258556.6273136,GX:-5.60,GZ:3.37,ACC:5.17
1741258556.655975,GX:-4.29,GZ:7.73,ACC:3.91
1741258556.6846218,GX:0.07,GZ:-0.40,ACC:3.77
1741258556.713332,GX:-2.01,GZ:0.62,ACC:4.91
1741258556.7421398,GX:-8.94,GZ:6.77,ACC:4.17
1741258556.7706025,GX:-4.11,GZ:6.85,ACC:1.04
1741258556.7992346,GX:-3.78,GZ:2.07,ACC:1.88
1741258556.8239403,GX:-1.72,GZ:0.44,ACC:4.31
1741258556.8527107,GX:-3.12,GZ:8.60,ACC:3.22
1741258556.8812823,GX:-10.77,GZ:6.78,ACC:1.66
1741258556.9099705,GX:-8.96,GZ:7.82,ACC:0.68
1741258556.938602,GX:-8.23,GZ:3.62,ACC:1.04
1741258556.9673085,GX:-1.90,GZ:-0.68,ACC:3.13
1741258556.9959097,GX:-6.12,GZ:2.66,ACC:3.51
1741258557.0246093,GX:-9.61,GZ:7.52,ACC:2.57
1741258557.053204,GX:-11.47,GZ:8.75,ACC:1.68
1741258557.0818794,GX:-7.73,GZ:3.93,ACC:1.83
1741258557.1106145,GX:-3.40,GZ:2.23,ACC:2.29
1741258557.1392455,GX:-7.47,GZ:2.15,ACC:1.25
1741258557.167845,GX:-7.85,GZ:3.00,ACC:1.97
1741258557.1925566,GX:-4.44,GZ:1.12,ACC:0.32
